No	熟語	意味
67	wake up (～)	目が覚める、（人）の目を覚まさせる
68	brush up (on) ～	（語学など）をやり直して磨きをかける
69	find out ～	（調査などの結果）を見つけ出す、（真相）を知る
70	carry out ～	～を実行する
71	point out ～	～を指摘する
72	figure out (～)	～を理解する、～を計算する、～を解く
73	turn out (～)	①～であることが分かる、（結果的に）～になる ②～を産出する ③（催しなどに）繰り出す
74	fill out ～	（書類など）に書き込む
75	pick out ～	～を選ぶ
76	put on ～	～を（身に）つける、（電気器具ガスなど）をつける
77	work on (～)	①働き続ける ②～に取り組む、～を手がける、～に影響を与える、（薬などが）～に効く
78	try on ～	～を試着する
79	turn on (～)	（スイッチなど）をつける、（水・ガスなど）を出す、（明かりなどが）つく
80	turn off (～)	（スイッチなど）を消す、（水・ガスなど）を止める、（明かりなどが）消える
81	take off (～)	①～を脱ぐ、～を取り除く ②離陸する、（流行・売り上げなどが）急増［急伸］する ③～を休暇としてとる
82	get along	①暮らす、（なんとか）やっていく ②仲良くやっていく、進む
83	get together (～)	集まる、～を集める
84	calm down (～)	～を落ち着かせる［静める］、落ち着く［静まる］
85	think over ～	～をよく考える
86	keep doing	…し続ける
87	take place	催される、起こる
88	play a role/part (in ～)	（～で）役割を演じる［果たす］
89	make sure (～)	（～を）確かめる、確実に～をする
90	make sense	意味をなす、道理にかなう
91	make a difference	違いが生じる、重要である
92	make a mistake	間違いをする
93	make progress	進歩する
94	make up one's mind	決心する
95	do one's best	最善を尽くす
96	keep one's promise/word	約束を守る
97	get lost	道に迷う
98	enjoy oneself	楽しい時を過ごす
99	have/take ～ off	～を休みとしてとる
100	pay attention to ～	～に注意を払う
101	take care of ～	～に気をつける、～の世話をする
102	look forward to ～	～を楽しみに待つ
103	ask for ～	～を求める
104	get rid of ～	（厄介なもの）を取り除く
105	fall in love with ～	（事・物）を大好きになる、（人）と恋に落ちる
106	used to do/be	～したものだった、昔は～であった
107	had better do	…したほうがいい、…すべきだ
108	help A with B	AのBを手伝う、AをBで助ける
109	prefer A to B	ＢよりＡを好む
110	turn A into B	ＡをＢに（質的に）変える
111	prevent A from B	AがBするのを妨げる、AをBから防ぐ
112	remind A of/about B	AにBを思い出させる
113	regard A as B	AをBとみなす
114	associate A with B	ＡをＢと結びつけて考える
115	inform A of/about B	AにBを知らせる
116	after all	結局（は）、やっぱり
117	all the time	いつも、常に
118	all the way	ずっと、はるばる
119	～ and so on/forth	～など
120	and yet	それにも関わらず
121	as ～ as possible/one can	できる限り～
122	as a result (of ～)	（～の）結果として
123	as a whole	全体として（の）
124	as usual	いつものように
125	at best	よくても、せいぜい
126	at least	少なくとも
127	at (the) most	せいぜい、多くても
128	at a time	一度に
129	at once	①すぐに ②同時に
130	at all	①（否定文で）まったく ②（疑問文で）一体、そもそも ③（肯定文で）そもそも、ともかく
131	at any rate	とにかく、いずれにしても
132	at random	無作為に、手当たり次第に
133	more or less	①多かれ少なかれ、程度の差はあれ②ほぼ、おおよそ
134	at times	ときどき
135	between you and me	ここだけの話だが、内緒だが
136	by hand	手で
137	by mistake	間違って
138	by no means	全然～ない
139	by the way	ところで
140	far from ～	～からほど遠い、～どころではない
141	for a while	しばらくの間
142	for example/instance	例えば
143	for one thing	一つには
144	in a hurry	急いで、あせって
145	in addition (to ～)	（～に）加えて、さらに
146	in any case/event	とにかく、いずれにしても
147	in detail	詳細に
148	in fact	①実際に ②（前言と対照して）（ところが）実際は
149	in general	①一般に ②（名詞の後に置いて）一般の
150	in other words	言い換えれば、つまり
151	in public	人前で、公然と
152	in reality	（ところが）実際には、（想像などではなく）現実に
153	in the end	結局は、ついには
154	in the future	将来は、今後は
155	in the long run	長い目で見れば、結局は
156	no doubt	おそらく、たぶん
157	no longer ～	もはや～ない
158	not always ～	必ずしも～ではない
159	on earth	①（疑問詞を強めて）一体全体 ②（最上級を強めて）世界中で
160	on the other hand	他方では、これに反して
161	so far	今までの所
162	sooner or later	遅かれ早かれ
163	these days	近頃は、この頃は
164	according to ～	①～によれば ②～に従って、～に応じて
165	owing/due to ～	～のために
166	thanks to ～	～のおかげで
167	in spite of ～	～にもかかわらず
168	all over (～)	（～の）至る所に［で］、一面に
169	apart from ～	①～のほかに ②～を除いては
170	aside from ～	～を除いては、～のほかに
171	ahead of ～	（時間的に）～より先に、（位置的に）～の前に、～より進歩して
172	in search of ～	～を求めて［探して］
173	in preparation	～の準備中で
174	each other	お互い
175	so ～ that …	（結果を表して）非常に～なので…する
176	A as well as B	BだけでなくAも
177	not only A but (also) B	AだけでなくBも
178	as if/though …	まるで…するように
179	as soon as …	…するやいなや
180	Something is wrong with ～.	～はどこか調子がおかしい［故障している］
181	bring up ～	①～を育てる②（問題・話題など）を持ち出す = raise
182	call off ～	～を中止する［取り消す］ = cancel
183	carry on (～)	（～を）続ける = happen, occur
184	come about	起こる = continue
185	come by ～	～を手に入れる = get, obtain
186	come up with ～	（解決策など）を思いつく = devise, invent, conceive
187	do away with ～	～を取り除く、～を廃止する = eliminate, abolish
188	find fault with ～	～にけちをつける、～を非難する = criticize
189	get over	～を克服する、（病気など）から回復する = overcome
190	hand in ～	（手渡しで）～を提出する［届ける］ = submit
191	learn ～ by heart	～を暗記する = memorize
192	look into ～	～を調べる = investigate
193	look over ～	～を（ざっと）調べる = examine
194	pass away	死ぬ = die
195	put off ～	～を延期する = postpone
196	put together ～	（部品など）を組み立てる、（考えなど）をまとめる = assemble, build
197	put up ～	①～を掲げる、～を上げる、～を建てる②～を泊める = raise, lift, erect, construct/accommodete
198	put up with ～	～を我慢する = tolerate, endure, stand
199	set about ～	～を始める = begin, start
200	set in	始まる = begin, start
201	take after ～	～に似ている = resemble
202	of importance	重要な = important
203	along with ～	～と一緒に、～に加えて = besides
204	in connection with ～	～に関連して = concerning, about
205	on board (～)	（乗り物）に乗って、乗って（た） = aboard
206	prior to ～	～より前で = before
207	(every) once in a while	ときどき = sometimes, occasionally
208	above all (else)	とりわけ、特に = especially, particularly
209	all of a sudden	突然に、不意に = suddenly, abruptly
210	(all/just) the same	それでもやはり = nevertheless
211	as a (general) rule	普通は、概して = generally, usually
212	as well	～もまた = too, also
213	before long	間もなく = soon
214	by degrees	徐々に = gradually
215	for good	永久に = forever, permanently
216	for the most part	大体は、大部分は = mostly, generally
217	from time to time	ときどき = sometimes, occationally
218	in advance	前もって = beforehand
219	in all	全部で = altogether
220	in particular	特に =especially, particularly
221	on occasion(s)	ときどき = sometimes, occationally
222	on purpose	わざと、故意に = intentionally, purposely
223	over and over (again)	何度も繰り返し = repeatedly
224	right away	今すぐ、直ちに = immediately
225	agree to ～	（提案・計画・条件など）に同意する
226	agree with ～	（人が）（人・考えなど）に同意する、（気候・食物などが）～に合う、～に一致［適合］する
227	apply for ～	（仕事・許可など）を申し込む［志願する］
228	apply to ～	①～に当てはまる ②（人・場所・組織）に申し込む
229	remember doing	…したのを覚えている
230	remember to do	忘れずに…する
231	catch up with/to ～	（遅れた状態から）～に追いつく
232	keep pace with ～	～に遅れずについていく
233	keep up with ～	～に遅れずについていく
234	leave ～ alone	～をそのままにしておく、～に干渉しない
235	let alone ～	～は言うまでもなく
236	correspond to ～	～に一致する、～に相当する
237	correspond with ～	～とやりとりを交わす、～と文通する
238	hit on/upon ～	～を思いつく、～に出くわす
239	occur to ～	ふと（人）の心に浮かぶ
240	dawn on ～	（考えなどが）（人）にわかり始める［思い浮かぶ］
241	make the best of ～	（不利な状況で）～を最大限に利用する［善処する］
242	make the most of ～	～を最大限に利用する
243	lay off ～	～を一時解雇する
244	lay out ～	～を並べる、～を設計する
245	be concerned about/for ～	～を心配している
246	be concerned with/in ～	～に関係している
247	be free from/of ～	～がない
248	be free to do	自由に…できる
249	be familiar to ～	（人）によく知られている
250	be familiar with ～	（物事）をよく知っている
251	be true of ～	～に当てはめる
252	be true to ～	～に忠実である
253	be tired from/with ～	～で疲れる
254	be tired of ～	～に飽きる［うんざりしている］
255	be bound for ～	～行きである
256	be bound to do	きっと…する、…する責任がある
257	be anxious about ～	～を心配している
258	be anxious to do	…したがる
259	～ to come	（名詞の後に置いて）将来の～、来たるべき～
260	～ to go	（名詞の後に置いて）あと～、残りの～、持ち帰り用の～
261	anything but ～	全然～ではない、～どころではない
262	nothing but ～	ただ～だけ、～にすぎない
263	at first	最初は
264	for the first time	初めて
265	in the way (of ～)	（～の）邪魔になって
266	on the way (to ～)	（～への）途中で
267	by now	今はもう、今頃は
268	for now	今のところは、当分は
269	on the contrary	それどころか、それに反して
270	to the contrary	それと反対の［に］
271	in the air	未決定で、空中で［の］、（雰囲気などが）感じられて
272	on the air	放送中の［で］
273	by chance	偶然に
274	by any chance	（疑問文で）もしかして
275	as a matter of course	当然のこととして
276	as a matter of fact	実を言うと、実際は
277	at a distance	ある距離を置いて
278	in the distance	遠方に［で］
279	inside out	裏返して、ひっくり返して
280	upside down	逆さまに、ひっくり返って
281	provide A with B	AにBを供給する
282	supply A with B	AにBを供給する
283	mistake A for B	AをBと間違える
284	take A for B	AをBだと（誤って）思う［間違える］
285	look on/upon A as B	AをBと見なす
286	think of A as B	AをBと見なす
287	distinguish A from B	AをBと区別する
288	tell A from B	AとBを区別する
289	participate in ～	～に参加する
290	take part in ～	～に参加する
291	compensate for ～	～の埋め合わせをする、～を補償する
292	make up (～)	①～を構成する、～を作り上げる ②仲直りをする ③～の埋め合わせをする
293	care for ～	①～の世話をする ②～を好む、～を望む
294	look after ～	～の世話をする
295	show up (～)	①（予定の所に）現れる ②目立つ、～を目立たせる
296	turn up (～)	①現れる、起こる ②（ガス・音量など）を大きくする、～を探し出す
297	consist in ～	～にある
298	lie in ～	～にある
299	give in (～)	①屈服する ②～を提出する
300	give way (to ～)	（～に）屈服する、（～に）道を譲る
301	stand out	際立つ、目立つ
302	stick out	突き出る、目立つ
303	cling to ～	～にくっつく、～に固執［執着］する
304	stick to ～	（主義・決定など）を堅持する、～にくっつく
305	count on/upon ～	～に頼る、～を当てする
306	rest on/upon	～に基づく、～に頼る
307	look out for ～	～に気をつける
308	watch out for ～	～に気をつける
309	hand over ～	～を引き渡す、～を手渡す
310	turn over ～	①～を引き渡す、～を譲る ②～をひっくり返す、（ページなど）をめくる、ひっくり返る
311	date back to ～	～にさかのぼる、～に始まる
312	date from ～	～から始まる、～にさかのぼる
313	put aside ～	～を蓄える、～をわきに置く、～を取っておく
314	set aside ～	～を蓄える、～を取っておく、～をわきに置く
315	sit up	①（寝ないで）起きている ②（寝た状態から）上半身を起こす ③きちんと座る
316	stay up	（寝ないで）起きている
317	hold back ～	～を制止する、（真相など）を隠す
318	keep back ～	（真相など）を隠す、～を制止する
319	feel sorry for ～	～を気の毒に思う、～に同情する
320	take/have pity on ～	～に同情する
321	sympathize with ～	～に同情する
322	take pride in ～	～を誇り［自慢］に思う
323	pride oneself on ～	～を誇り［自慢］に思う
324	surrender to ～	～に屈する
325	yield to ～	～に屈する、～に道を譲る
326	be essential to ～	～にとって不可欠である
327	be indispensable to/for ～	～にとって不可欠である
328	be equal to ～	～に等しい
329	be equivalent to ～	～に等しい
330	be apt to do	～しがちである
331	be inclined to do	～する傾向がある、～したい気がする
332	in a sense	ある意味では、ある点で
333	in a way	ある意味では、ある点で
334	first of all	まず第一に
335	in the first place	まず第一に
336	back and forth	行ったり来たり、前後［左右］に
337	up and down	行ったり来たり、上下に
338	at present	現在は、目下
339	at the moment	（現在時制で）現在は、（過去時制で）ちょうどその時
340	in a word	要するに、つまり
341	in short	つまり、手短に言えば
342	generally speaking	一般的に言えば
343	on the whole	全体的には、概して
344	all in all	全体的には、概して
345	in principle	理論的に（は）、原則的に（は）
346	in theory	理論上は
347	at all cost(s)/any cost	ぜひとも
348	by all means	①ぜひとも、必ず ②（承諾の返事として）ぜひどうぞ
349	as it were	いわば
350	so to speak	いわば
351	for one's (own) part	～としては、～に関する限りは
352	on one's part	～の側での、～としては
353	for the present	当分の間（は）、差し当たり
354	for the time being	当分の間（は）、差し当たり
355	close/near at hand	（距離・時間的に）すぐ近くに
356	(just) around the corner	（距離・時間的に）すぐ近くに
357	for all ～	～にもかかわらず
358	with all ～	～にもかかわらず
359	as for ～	（人・物）～について言えば、～に関する限り
360	as to ～	（物）～に関しては
361	not to mention ～	～は言うまでもなく
362	to say nothing of ～	～は言うまでもなく
363	be dependent on/upon ～	～に依存している
364	be independent of ～	～から独立している
365	in order	整頓されて、順調で、適切で
366	out of order	故障して、順序が狂って
367	look down on/upon ～	～を見下す
368	look up to ～	～を尊敬する
369	do with ～	①（couldを伴って）～があればありがたい ②（受動態で）～をすませた、～を縁を切った ③（whatを使った疑問文・否定文で）を処理［処置］する
370	do without ～	～なしですます
371	in/within sight	見えて、視界に入って
372	out of sight	見えなくて、視界から消えて
373	at one's ease	くつろいで
374	ill at ease	不安で、落ち着かないで
375	act on/upon ～	①～に取り組む、～に作用する ②（命令・信念など）に従って行動する
376	break in ～	①押し入る、口を挟む ②～を慣らす
377	break out	①（火事・戦争などが）起こる ②（汗・吹き出物などが）出る、急にしだす
378	break up ～	①ばらばらになる［解散する］、～をばらばらにする［解散させる］ ②（人が）別れる、（関係などが）終わる、～を終わらせる
379	call for ～	①～を必要とする、～を求める ②（人）を誘い［迎え］に行く、（物）を取りに行く
380	call on/upon ～	①（人）を訪問する ②～に要求する
381	come across ～	①～を偶然見つける、～に偶然出会う ②（考えなどが）（相手に）伝わる［理解される］
382	come to ～	①～に達する、～に来る ②（～to do）…するようになる③意識を回復する、正気に戻る
383	give out ～	①～を配る、～を発する ②（供給物・力などが）尽きる［なくなる］
384	go by ～	①（時などが）たつ、通り過ぎる ②～の名で通る［知られる］、～によって行動［判断］する
385	go off	①出かける、去る、（電灯などが）消える ②（仕掛けが）作動する、（爆薬が）爆発する、（銃などが）発射される
386	go on ～	①（状況などが）続く、（時間が）過ぎる ②（進行形で）起こる、行われる ③（旅行など）に出かける
387	go out	①出かける②（灯火などが）消える、気絶する、死ぬ
388	go over ～	①～に詳細に目を通す、～を調べる ②～を復習する、～を繰り返す
389	go with ～	①～と付き合う、～と一緒に行く ②～に似合う
390	hold out ～	①（手など）を差し出す ②（希望など）を抱かせる、持ちこたえる［耐える］
391	hold up ～	①～を持ち上げる、～を支える、持ちこたえる ②～を遅らせる ③～に強盗に入る
392	live on ～	①～を常食にする ②（～の収入・金額）で生活する ③生き続ける
393	look to ～	①～の方を見る、～に気をつける ②～に頼る、～を当てにする
394	look up ～	①（辞書などで）～を調べる ②（人）を訪ねる ③（景気などが）上向く［好転する］
395	put out ～	①（火・明かりなど）を消す ②～を出す
396	settle down	①定住する、落ち着く ②（腰を据えて）始める
397	stand by ～	①傍観する、待機する ②～を支持［擁護］する、（約束など）を守る
398	stand for ～	①～意味する、～の略である ②（否定文・疑問文で）～を許容する、を我慢する
399	take in ～	①～を取り入れる、～を理解する ②～をだます ③～を見物をする
400	take on ～	①～を引き受ける、～を雇う ②（様相・色・性質など）を呈する［帯びる］
401	take to ～	（習慣的に）～を始める、～にふける
402	take up ～	①（場所・時間）を取る、～を取り上げる ②（仕事・趣味など）を始める
403	turn down ～	①～を却下［拒絶］する ②（音量・火力など）を小さくする
404	turn in ～	①～を提出する ②～を引き渡す、～を返却する
405	make for ～	①～のほうへ進む ②～に寄与する［役立つ］
406	make out ～	①（通例canを伴い、否定文・疑問文で）～を理解する ②（通例canを伴って）～を見分ける ③（書類・小切手など）を作成する
407	meet with ～	①～を受ける、～を経験する ②～と（約束して）会う、～と会見する
408	provide for ～	①～を扶養する ②～に備える、（法律が）～を規定する
409	put down ～	①～を置く ②～を鎮める［抑える］
410	run over ～	①（車が）～をひく ②（～から）あふれる
411	set out ～	①出発する ②～し始める ③～を並べる、～を設計する
412	be due to do	①～のため［結果］である ②～する予定である
413	up to ～	①～まで ②～次第である、～の責任である ③（悪いこと）をしようとしている
414	at large	①（名詞の前に置いて）一般の、全体としての ②逃走中で、逮捕されないで
415	in effect	①事実上、実際は ②（法律などが）実施されて
416	all but ～	①～も同然、ほとんど～ ②～以外すべて
417	at length	①詳細に、長々と②とうとう、ついに
418	next to ～	①（場所・位置）～の次の［に］ ②（否定を表す語の前に置いて）ほとんど～
419	on end	①連続して ②直立して、垂直にして
420	by way of ～	①～経由で ②～として、～のつもりで（の）
421	add to ～	～を増やす
422	adapt to ～	（環境など）に順応する［慣れる］
423	object to ～	～に反対する
424	admit to ～	～を認める［告白する］
425	conform to/with ～	～と一致する、～に従う［合わせる］
426	resort to ～	（手段など）に訴える［頼る］
427	keep to ～	～に沿って進む、～から離れない、～に従う
428	get to ～	①～に到着する ②～できる、～するようになる
429	adhere to ～	（主義・規則など）に忠実に従う、～にくっつく
430	reflect on/upon ～	～を熟考［反省］する
431	decide on/upon ～	～を（どれにするか）決める、（複数の選択肢から）～に決める
432	fall on/upon ～	（責任・仕事などが）～に降りかかる、（休日などが）～に当たる
433	feed on ～	～を常食［餌］にする
434	run into ～	～に偶然出会う、～を偶然見つける、～にぶつかる
435	break into ～	①～に侵入する②急に～をしだす
436	enter into ～	（契約など）を取り結ぶ、（議論など）を始める
437	burst into ～	急に～をしだす、突然～に入る
438	dispose of ～	～を処分する、～を平らげる
439	approve of ～	～に賛成する、～を承認する
440	boast of/about ～	～を自慢する、～を誇らしげに話す
441	become of ～	（what, whatever を主語にして）
～はどうなるか
442	derive from ～	～に由来する、～から出ている
443	aim at ～	～を目指す、～を狙う
444	interfere with ～	～の邪魔をする、～を妨げる
445	part with ～	（物）を（しぶしぶ）手放す
446	long for ～	～を切望する
447	send for ～	（人）を呼ぶ、（物）を取り寄せる
448	go about ～	～に取りかかる、～に精を出す
449	run across ～	①～を偶然見つける、～に偶然で会う ②～を走って横切る
450	end up	最後には～になる
451	use up ～	～を使い果たす
452	sum up ～	（～を）要約する、～を合計する
453	clear up ～	（天候が）晴れる、（疑念・不明点など）を明らかにする
454	tie up ～	（人）を拘束する、～を固く縛る、提携する
455	cheer up ～	元気づく、～を元気づける［応援する］
456	blow up ～	爆発する、かっとなる、～を爆破する
457	call up ～	（～に）電話をかける、（記憶・勇気など）を呼び起こす
458	shut up ～	話をやめる、～を散らせる
459	step up ～	①近づく、（壇上などに）上がる ②（量・速度など）を増す、（活動など）を促進する
460	cut down/back (on) ～	～（の量）を減らす、～を切り詰める
461	slow down ～	（～の）速度を落とす、ペースが落ちる
462	break down ～	①～を分解する、～を壊す ②故障する、取り乱す、肉体的［精神的］に参る
463	hand down ～	～を（子孫［後世］に）伝える
464	take down ～	～を書き留める、（建築など）を取り壊す
465	burn down ～	～を全焼させる、（建物が）全焼する
466	come out	現れる、ばれる、出版される
467	run out	使い果たす、尽きる
468	speak out/up	はっきり［思い切って］話す
469	drop out	脱落する、中途退学する
470	sort out ～	～を整理する、～を処理する
471	wear out ～	～をすり減らす［疲れ果てさせる］、すり減らす
472	roll out ～	（新製品）を製造［発売］する、～を転がして出す、転がり出る
473	iron out ～	（問題など）を解決［調節する］
474	set off ～	出発する、～を引き起こす
475	show off ～	（～を）見せびらかす
476	keep off ～	～を近づけない、～に近づかない、～を慎む
477	give off ～	（光・音・においなど）を発する
478	break off ～	（～を）急にやめる、～を切り離す
479	take over ～	（～を）引き継ぐ、～を支配する
480	put in ～	①（物・言葉など）を差し入れる［加える］、（設備など）を取り付ける ②（労力・時間・金など）を注ぎ込む［投入する］
481	drop in	（口調で）ちょっと立ち寄る
482	cut in	（人・車が）割り込む
483	pass on ～	（物・情報など）を次に回す［伝える］
484	give away ～	（秘密など）を漏らす、～をただでやる、～を配る
485	adjust (A) to B	（Aを）Bに合わせて調節する
486	compare A with/to B	AとBを比較する、AをBにたとえる
487	expose A to B	AをBにさらす
488	leave A (up) to B	AをBに任せる、AをBに残す
489	attach A to B	AをBに取りつける［付与する］
490	attribute A to B	AをBのせい［結果］と考える
491	owe A to B	A（恩・義務など）をBに負っている、A（金）をBに借りている
492	confine A to B	AをBに限定する、AをBに閉じ込める
493	liken A to B	AをBにたとえる
494	keep A from B	AにBをさせない、AをBから守る
495	discourage A from B	A（人）にBを思いとどまらせる
496	forbid A from B	A（人）にBを禁止する
497	prohibit A from B	A（人）にBを禁止する
498	order A from B	BにAを注文する
499	substitute A for B	Bの代わりにAを使う
500	exchange A for B	AをBと交換する
501	blame A for B	BのことでAを非難する、BをAのせいにする
502	punish A for B	BのことでAを罰する
503	forgive A for B	BのことでAを許す
504	deprive A of B	AからBを奪う
505	rob A of B	（暴力・脅迫などで）AからBを奪う
506	cure A of B	AのBを治す、A（人）のB（悪癖など）を取り除く
507	accuse A of B	BのことでAを非難［告訴］する
508	suspect A of B	BについてAを疑う
509	assure A of B	A（人）にB（物・事）を請け合う［保証する］
510	transform A into/to B	AをBに変える［変質させる］
511	talk A into B	A（人）を説得してBをさせる
512	present A with B	AにBを贈る［与える］
513	diagnose A as B	AをBと診断する
514	strike A as B	A（人）にBの印象を与える
515	congratulate A on/for B	BのことでAを祝う
516	name A after B	AをBにちなんで名づける
517	make an effort/efforts	努力する
518	make way	道をあける
519	live/lead a ～ life	［～］の生活をする
520	make/earn a/one's living	生計を立てる
521	take one's place	①いつもの席に着く、特定の地位を占める ②～に取って代わる
522	take turns	交代でする
523	take a chance/chances	思い切ってやってみる、賭ける
524	take shape	（はっきりした）形をとる
525	take/have a seat	着席する
526	take a risk/risks	（あえて）危険を冒す、賭ける
527	shake hands	握手する
528	change hands	持ち主が変わる
529	have a say (in ～)	（～に）発言権［発言力］を持つ
530	have/got one's (own) way	思い通りにする
531	keep/hold one's temper	冷静さを保つ
532	take advantage of ～	～を利用する、～につけ込む
533	take control of ～	～を制御［管理・支配］する
534	make use of ～	～を利用する
535	make fun of ～	～をからかう
536	make friends with ～	～と親しくなる
537	make much of ～	～を重要視する、（否定文で）～を理解する
538	have difficulty (in) doing	～するのが困難である、苦労しながら～する
539	have access to ～	～を利用できる、～に近づける
540	have an influence/effect on ～	～に影響を与える
541	have a liking for ～	～を好む
542	give rise to ～	～を引き起こす［生む］
543	give birth to ～	～を産む、～の原因になる
544	find one's way to ～	～へたどり着く、～まで道を探しながら進む
545	keep an eye on ～	～に気を付けている、～から目を離さない
546	fall victim to ～	～の犠牲［餌食］になる
547	catch sight of ～	～を見つける［見かける］
548	put emphasis/stress on/upon ～	～を強調［重視］する
549	be related to ～	～と関係がある、～と婚姻関係がある
550	be similar to ～	～に似ている
551	be subject to ～	～を受けやすい、～に服従している
552	be superior to ～	～より優れている
553	be sensitive to ～	～に敏感である
554	be accustomed to ～	～に慣れている
555	be contrary to ～	～に反している
556	be indifferent to/toward(s) ～	～に無関心［無頓着］である
557	be preferable to ～	～より好ましい［優れている］
558	be dedicated to ～	（仕事・目的など）に打ち込んでいる
559	be peculiar to ～	～に特有である
560	be prone to ～	～になりやすい
561	be identical to/with ～	～と同じ［同一］である
562	be involved in ～	～に携わっている［関係している］、～に熱中している
563	be absorbed in ～	～に熱中している
564	be lacking in ～	～に欠けている
565	be versed in ～	～に精通［熟達］している
566	be abundant in ～	～が豊富である
567	be busy with ～	～で忙しい
568	be popular with/among ～	～に人気がある
569	be equipped with ～	～を備えている
570	be content/contented with ～	～に満足している
571	be confronted with/by ～	（困難・問題など）に直面している
572	be acquainted with ～	～に精通している、～と知り合いである
573	be characteristic of ～	～に特有である、いかにも～らしい
574	be worthy of ～	～に値する［ふさわしい］
575	be ignorant of ～	～を知らない
576	be confident of/about ～	～を確信している
577	be considerate of/to ～	～に対して思いやりのある
578	be guilty of ～	～について有罪である、～を犯している
579	be convinced of ～	～を確信している
580	be tolerant of ～	～に対して寛大である
581	be wary of ～	～に用心深い
582	be suitable for/ to ～	～に適している、（目的など）に合っている
583	be grateful (to A) for B	Bのことで（Aに）感謝している
584	be particular about/over ～	～についてやかましい［気難しい］
585	come down with ～	（病気）にかかる
586	come into being/existence	出現する、生まれ出る
587	come true	（夢・予言などが）実現する
588	do ～ good	（人）のためになる［役に立つ］
589	get in touch (with ～)	（～と）連絡を取る
590	go blind	失明する
591	have A in common (with B)	（Bと）共通にAを持っている
592	keep/bear ～ in mind	～を心に留めておく［忘れない］
593	look back on/upon/to ～	～を回顧［回想］する
594	make it	成功する、うまくやる、間に合う、出席する
595	put into practice/operation	～を実行［実施］する
596	sign up for ～	（受講など）の届け出をする、～に加わる
597	take ～ by surprise	～を驚かす、～の不意を打つ
598	in terms of ～	～の観点から、～に換算して
599	in contrast to/with ～	～と著しく違って、～と対照をなして
600	in danger of ～	～の危険があって
601	in need of ～	～を必要として
602	in response to ～	～に応じて［答えて］
603	in favor of ～	～に賛成して、～のほうを選んで
604	in (the) face of ～	～に直面して、～にもかかわらず
605	in charge of ～	～を預かって［管理して］
606	in relation to ～	～と比べて、～に関連して
607	in place of ～	～の代わりに
608	in the presence of ～	～のいるところ［面前］で
609	in honor of ～	～に敬意を表して、～のために
610	in (the) light of ～	～から見て、～を考慮して
611	in harmony with ～	～と調和［一致］して
612	in exchange for ～	～と交換に
613	for the sake of ～	～のために
614	for fear of ～	～を恐れて
615	for lack/want of ～	～がない［不足している］ために
616	at the expense of ～	～を犠牲にして
