番号,単語,意味
578,license,免許
579,lifestyle,生活様式
580,magazine,雑誌
581,market,市場
582,material,材料
583,meal,食事
584,meaning,意味
585,medicine,薬
586,member,会員
587,memory,記憶
588,message,伝言
589,method,方法
590,million,百万
591,mistake,間違い
592,moment,瞬間
593,museum,博物館
594,musician,音楽家
595,nature,自然
596,neighbor,隣人
597,noise,騒音
598,notice,掲示
599,ocean,海
600,office,事務所
601,officer,将校・公務員
602,opinion,意見
603,opportunity,機会
604,option,選択肢
605,order,順序・注文
606,owner,持ち主
607,package,小包
608,page,ページ
609,pain,痛み
610,palace,宮殿
611,passenger,乗客
612,passport,パスポート
613,path,小道
614,patient,患者
615,peace,平和
616,period,期間
617,person,人
618,pet,ペット
619,photo,写真
620,piece,断片
621,pilot,操縦士
622,pity,残念なこと
623,place,場所
624,plan,計画
625,planet,惑星
626,plant,植物・工場
627,plastic,プラスチック
628,plate,皿
629,player,選手
630,pleasure,喜び
631,poem,詩
632,police,警察
633,pollution,汚染
634,population,人口
635,poster,ポスター
636,power,力
637,practice,練習
638,president,大統領・社長
639,price,価格
640,prize,賞
641,problem,問題
642,product,製品
643,program,番組
644,project,計画
645,purpose,目的
646,quality,質
647,quantity,量
648,question,質問
649,railway,鉄道
650,rainbow,虹
651,range,範囲
652,rate,割合
653,reaction,反応
654,reason,理由
655,receipt,領収書
656,recipe,調理法
657,record,記録
658,region,地域
659,relation,関係
660,relative,親戚
661,relief,安心
662,religion,宗教
663,repair,修理
664,report,報告
665,research,研究
666,reservation,予約
667,respect,尊敬
668,rest,休息
669,result,結果
670,review,復習
671,rice,米
672,river,川
673,road,道路
674,robot,ロボット
675,rock,岩
676,roof,屋根
677,room,部屋
678,rule,規則
679,safety,安全
680,sale,販売
681,salt,塩
682,sandwich,サンドイッチ
683,scene,場面
684,schedule,予定
685,science,科学
686,scientist,科学者
687,score,得点
688,sea,海
689,season,季節
690,seat,座席
691,secret,秘密
692,section,部門
693,service,奉仕
694,shape,形
695,shirt,シャツ
696,shop,店
697,sight,光景
698,sign,記号・兆候
699,signal,信号
700,skill,技能
701,skin,肌
702,skirt,スカート
703,sky,空
704,society,社会
705,software,ソフトウェア
706,soil,土壌
707,soldier,兵士
708,son,息子
709,sound,音
710,soup,スープ
711,space,空間・宇宙
712,speech,演説
713,speed,速度
714,spirit,精神
715,spoon,スプーン
716,sport,スポーツ
717,stage,舞台
718,stamp,切手
719,star,星
720,station,駅
721,stomach,胃
722,stone,石
723,storage,貯蔵
724,storm,嵐
725,story,物語
726,stranger,見知らぬ人
727,stream,流れ・小川
728,street,通り
729,strength,強さ
730,stress,強調・ストレス
731,structure,構造
732,student,生徒
733,studio,スタジオ
734,subject,主題・学科
735,success,成功
736,sugar,砂糖
737,suit,スーツ
738,summer,夏
739,sunlight,日光
740,supermarket,スーパーマーケット
741,support,支持
742,surface,表面
743,surprise,驚き
744,survey,調査
745,symbol,象徴
746,system,体系
747,table,表・テーブル
748,talent,才能
749,target,目標
750,task,仕事・課題
751,tax,税金
752,team,チーム
753,technology,科学技術
754,teenager,10代の若者
755,temperature,温度
756,temple,寺
757,term,期間・用語
758,test,試験
759,text,本文
760,theater,劇場
761,theme,テーマ
762,theory,理論
763,thing,もの・こと
764,thought,考え
765,ticket,切符
766,title,題名
767,tool,道具
768,tooth,歯
769,top,頂上
770,total,合計
771,tour,見学・旅行
772,tourist,観光客
773,tower,塔
774,town,町
775,track,跡・小道
776,trade,貿易・交換
777,traffic,交通
778,training,訓練
779,transportation,輸送機関
780,treasure,宝物
781,tree,木
782,trip,旅行
783,trouble,心配・迷惑
784,truck,トラック
785,truth,真実
786,uncle,おじ
787,university,大学
788,vacation,休暇
789,valley,谷
790,value,価値
791,variety,多様性
792,vegetable,野菜
793,vehicle,乗り物
794,victim,犠牲者
795,victory,勝利
796,view,眺め・見解
797,village,村
798,voice,声
799,volume,音量
800,volunteer,ボランティア
801,war,戦争
802,warning,警告
803,wealth,富
804,weather,天気
805,wedding,結婚式
806,weight,重さ
807,wheel,車輪
808,wife,妻
809,wind,風
810,winner,勝者
811,wisdom,知恵
812,wood,木材
813,worker,労働者
814,writer,作家
815,youth,若さ
816,accept,受け入れる
817,achieve,達成する
818,admire,称賛する
819,affect,影響を与える
820,announce,発表する
821,apply,申し込む
822,arrange,手配する
823,attack,攻撃する
824,belong,属する
825,borrow,借りる
826,celebrate,祝う
827,confirm,確認する
828,connect,つなぐ
829,consider,検討する
830,deliver,配達する
831,describe,描写する
832,destroy,破壊する
833,divide,分ける
834,earn,稼ぐ
835,educate,教育する
836,encourage,励ます
837,examine,調査する
838,express,表現する
839,fail,失敗する
840,forgive,許す
841,gather,集める
842,graduate,卒業する
843,guess,推測する
844,hide,隠す
845,hurry,急ぐ
846,hurt,傷つける
847,ignore,無視する
848,maintain,維持する
849,manage,何とかやり遂げる
850,mention,言及する
851,offer,提供する
852,perform,演奏する
853,permit,許可する
854,prevent,防ぐ
855,promise,約束する
856,prove,証明する
857,provide,提供する
858,publish,出版する
859,recognize,認める
860,refuse,断る
861,remain,残る
862,repeat,繰り返す
863,rescue,救助する
864,respect,尊敬する
865,serve,役立つ
866,solve,解決する
867,suggest,提案する
868,support,支持する
869,suppose,と思う
870,survive,生き残る
871,waste,無駄にする
872,active,活動的な
873,anxious,心配して
874,available,利用可能な
875,awful,ひどい
876,basic,基本的な
877,brave,勇敢な
878,certain,確信して
879,clear,明らかな
880,equal,等しい
881,general,一般的な
882,honest,正直な
883,huge,巨大な
884,likely,ありそうな
885,lucky,幸運な
886,medical,医学の
887,mental,精神的な
888,negative,否定的な
889,normal,普通の
890,original,元の
891,poor,貧しい
892,private,私的な
893,public,公共の
894,rare,珍しい
895,recent,最近の
896,regular,規則的な
897,similar,似ている
898,single,たった一つの
899,smart,賢い
900,tough,たくましい・困難な
901,unique,独特な
902,unusual,珍しい
903,whole,全体の
904,actually,実は
905,already,すでに
906,carefully,注意深く
907,certainly,確かに
908,clearly,はっきりと
909,completely,完全に
910,easily,簡単に
911,especially,特に
912,finally,ついに
913,immediately,すぐに
914,nearly,ほとんど
915,perhaps,ひょっとすると
916,probably,おそらく
917,quite,かなり
918,recently,最近
919,safely,安全に
920,slowly,ゆっくりと
921,usually,普通は
922,ability,能力
923,absence,欠席
924,accident,事故
925,action,行動
926,activity,活動
927,adult,大人
928,adventure,冒険
929,advice,助言
930,airport,空港
931,alarm,警報
932,amount,量
933,animal,動物
934,anniversary,記念日
935,area,地域
936,arrival,到着
937,atmosphere,雰囲気
938,attention,注意
939,average,平均
940,background,背景
941,balance,バランス
942,balloon,風船
943,barrier,障壁
944,base,土台
945,benefit,利益
946,blood,血
947,bone,骨
948,border,国境
949,bottom,底
950,brain,脳
951,branch,枝・支店
952,breath,呼吸
953,button,ボタン
954,cabinet,戸棚
955,canal,運河
956,cancer,がん
957,candle,ろうそく
958,capital,首都・資本
959,cell,細胞・電池
960,chain,鎖・チェーン
961,channel,チャンネル
962,chapter,章
963,chart,図表
964,check,検査
965,cheek,頬
966,chest,胸
967,chimney,煙突
968,chin,あご
969,clerk,店員
970,cliff,崖
971,clinic,診療所
972,clue,手がかり
973,collar,襟
974,comfort,快適さ
975,comment,コメント
976,committee,委員会
977,community,地域社会
978,comparison,比較
979,concept,概念
980,construction,建設
981,contact,連絡・接触
982,content,内容
983,contest,競技・コンテスト
984,continent,大陸
985,contract,契約
986,control,支配・制御
987,convenience,便利
988,corner,角
989,costume,衣装
990,cotton,綿
991,couple,一対・夫婦
992,courage,勇気
993,course,進路・講座
994,court,法廷・コート
995,cousin,いとこ
996,creature,生き物
997,credit,信用
998,crew,乗組員
999,crime,犯罪
1000,crop,作物
1001,crowd,群衆
1002,curtain,カーテン
1003,custom,習慣
1004,daily,毎日の
1005,damage,損害
1006,data,データ
1007,daughter,娘
1008,dawn,夜明け
1009,debt,借金
1010,decade,10年間
1011,degree,度・程度
1012,delay,遅れ
1013,delight,大喜び
1014,demand,需要
1015,department,部門・売り場
1016,departure,出発
1017,depth,深さ
1018,desert,砂漠
1019,detail,詳細
1020,device,装置
1021,diamond,ダイヤモンド
1022,diary,日記
1023,diet,食事・ダイエット
1024,difference,違い
1025,direction,方向・指示
1026,director,監督・責任者
1027,dirt,泥・汚れ
1028,disadvantage,不利
1029,disaster,災害
1030,discount,割引
1031,disease,病気
1032,district,地区
1033,document,書類
1034,dollar,ドル
1035,dozen,1ダース
1036,drama,ドラマ・演劇
1037,drawer,引き出し
1038,drug,薬
1039,drum,太鼓
1040,dust,ほこり
1041,duty,義務
1042,edge,縁・端
1043,effort,努力
1044,elbow,ひじ
1045,election,選挙
1046,elevator,エレベーター
1047,emergency,緊急事態
1048,emotion,感情
1049,employee,従業員
1050,employer,雇い主
1051,engine,エンジン
1052,entrance,入り口
1053,envelope,封筒
1054,equipment,備品
1055,error,誤り
1056,escape,逃亡
1057,essay,作文・エッセイ
1058,evidence,証拠
1059,exercise,運動・練習
1060,exhibition,展示会
1061,exit,出口
1062,expense,費用
1063,expert,専門家
1064,expression,表現
1065,failure,失敗
1066,faith,信頼・信仰
1067,fan,ファン・扇風機
1068,farm,農場
1069,fashion,ファッション
1070,fault,欠点・責任
1071,fear,恐れ
1072,feature,特徴
1073,fee,料金
1074,festival,祭り
1075,field,分野・野原
1076,figure,数字・姿
1077,film,映画
1078,flavor,風味
1079,flight,飛行便
1080,floor,床・階
1081,focus,焦点
1082,fog,霧
1083,folk,人々・民族の
1084,force,力・軍隊
1085,form,形・用紙
1086,frame,枠
1087,freedom,自由
1088,frequency,頻度
1089,friendship,友情
1090,front,前面
1091,fuel,燃料
1092,furniture,家具
1093,gain,利益
1094,gallery,美術館
1095,gap,隙間・隔たり
1096,garage,車庫
1097,generation,世代
1098,genius,天才
1099,gift,贈り物・才能
1100,glove,手袋
1101,goal,目標・ゴール
1102,gold,金
1103,habit,習慣
1104,hall,ホール・玄関
1105,handle,取っ手・扱う
1106,happiness,幸せ
1107,harbor,港
1108,harvest,収穫
1109,headache,頭痛
1110,heart,心・心臓
1111,heat,熱
1112,heaven,天国
1113,height,高さ
1114,helmet,ヘルメット
1115,hero,英雄
1116,highway,幹線道路
1117,hill,丘
1118,hobby,趣味
1119,holiday,休日
1120,homework,宿題
1121,honesty,正直
1122,honor,名誉
1123,horizon,地平線
1124,host,主催者・主人
1125,hour,時間
1126,household,世帯
1127,human,人間
1128,humor,ユーモア
1129,hunger,飢え
1130,ice,氷
1131,idea,考え
1132,identity,身元・アイデンティティ
1133,illness,病気
1134,imagination,想像力
1135,impact,影響・衝撃
1136,importance,重要性
1137,income,収入
1138,industry,産業
1139,injury,けが
1140,ink,インク
1141,instance,例
1142,instruction,指示
1143,intelligence,知能
1144,intention,意図
1145,invention,発明
1146,invitation,招待
1147,iron,鉄・アイロン
1148,issue,問題・発行
1149,item,項目
1150,jail,刑務所
1151,jar,びん
1152,jaw,あご
1153,jeans,ジーンズ
1154,jewelry,宝石類
1155,job,仕事
1156,joke,冗談
1157,journal,雑誌・日記
1158,journalist,ジャーナリスト
1159,journey,旅
1160,judge,裁判官
1161,juice,ジュース
1162,key,鍵・手がかり
1163,kid,子供
1164,kindness,親切
1165,king,王
1166,kitchen,台所
1167,knee,ひざ
1168,knife,ナイフ
1169,knight,騎士
1170,knowledge,知識
1171,labor,労働
1172,lack,不足
1173,ladder,はしご
1174,lady,女性
1175,lake,湖
1176,land,土地・着陸する
1177,law,法律
1178,lawyer,弁護士
1179,layer,層
1180,leaf,葉
1181,leather,革
1182,lecture,講義
1183,leg,脚
1184,leisure,余暇
1185,lemon,レモン
1186,length,長さ
1187,lens,レンズ
1188,level,水準
1189,liberty,自由
1190,lid,ふた
1191,lifestyle,生活様式
1192,limit,制限
1193,line,線・列
1194,lip,唇
1195,liquid,液体
1196,literature,文学
1197,liter,リットル
1198,load,荷物
1199,loan,ローン・貸付
1200,location,場所
1201,log,丸太・記録
1202,logic,論理
1203,loss,損失
1204,luck,運
1205,luggage,手荷物
1206,machine,機械
1207,magazine,雑誌
1208,magic,魔法
1209,mail,郵便
1210,makeup,化粧
1211,mall,モール
1212,manager,経営者
1213,manner,行儀・方法
1214,map,地図
1215,mark,印・記号
1216,market,市場
1217,marriage,結婚
1218,mask,仮面・マスク
1219,mass,塊・集団
1220,master,主人・名人
1221,match,試合・マッチ
1222,material,材料・資料
1223,math,数学
1224,matter,問題・事柄
1225,meal,食事
1226,meaning,意味
1227,measure,対策・測定
1228,meat,肉
1229,medal,メダル
1230,medicine,薬・医学
1231,meeting,会議
1232,member,会員
1233,memory,記憶
1234,mention,言及
1235,menu,メニュー
1236,metal,金属
1237,method,方法
1238,middle,真ん中
1239,midnight,真夜中
1240,might,力
1241,mile,マイル
1242,milk,牛乳
1243,million,百万
1244,mind,心・精神
1245,mineral,鉱物
1246,minimum,最小限
1247,mirror,鏡
1248,mistake,間違い
1249,model,模型・モデル
1250,moment,瞬間
1251,money,お金
1252,monitor,モニター
1253,month,月
1254,mood,気分
1255,moon,月
1256,morning,朝
1257,mountain,山
1258,mouse,ネズミ
1259,mouth,口
1260,movement,動き
1261,movie,映画
1262,mud,泥
1263,muscle,筋肉
1264,museum,博物館
1265,music,音楽
1266,musician,音楽家
1267,mystery,謎
1268,nail,爪・釘
1269,name,名前
1270,nation,国家
1271,navy,海軍
1272,neck,首
1273,needle,針
1274,neighbor,隣人
1275,neighborhood,近所
1276,nerve,神経
1277,nest,巣
1278,net,網・ネット
1279,network,ネットワーク
1280,news,ニュース
1281,newspaper,新聞
1282,night,夜
1283,noise,騒音
1284,noon,正午
1285,nose,鼻
1286,note,メモ・注釈
1287,notebook,ノート
1288,notice,掲示・通知
1289,novel,小説
1290,number,数
1291,nurse,看護師
1292,object,物体・対象
1293,ocean,海・大洋
1294,offer,提供・申し出
1295,office,事務所
1296,officer,将校・公務員
1297,oil,油・石油
1298,operation,操作・手術
1299,opinion,意見
1300,opportunity,機会
1301,option,選択肢
1302,orange,オレンジ
1303,orchestra,オーケストラ
1304,order,順序・注文
1305,ordinary,普通の
1306,organ,臓器・オルガン
1307,organization,組織
1308,original,独創的な・元の
1309,outdoor,屋外の
1310,owner,持ち主
1311,oxygen,酸素
1312,package,小包
1313,page,ページ
1314,pain,痛み
1315,paint,絵の具・塗る
1316,pair,一対
1317,palace,宮殿
1318,pan,鍋
1319,panel,パネル・識者
1320,paper,紙・新聞
1321,parade,パレード
1322,pardon,許し
1323,parent,親
1324,park,公園
1325,part,部分・役割
1326,partner,パートナー
1327,party,パーティー・政党
1328,passenger,乗客
1329,passport,パスポート
1330,past,過去
1331,path,小道
1332,patience,忍耐
1333,patient,患者・忍耐強い
1334,pattern,模様・型
1335,pay,給料・支払う
1336,peace,平和
1337,peak,頂上
1338,pen,ペン
1339,pencil,鉛筆
1340,perfect,完璧な
1341,period,期間
1342,person,人
1343,personal,個人の
1344,personality,個性
1345,pet,ペット
1346,phone,電話
1347,photo,写真
1348,physical,身体の
1349,piano,ピアノ
1350,picture,写真・絵
1351,piece,断片・一つ
1352,pig,豚
1353,pilot,操縦士
1354,pipe,管
1355,pity,残念なこと
1356,place,場所
1357,plan,計画
1358,planet,惑星
1359,plant,植物・工場
1360,plastic,プラスチック
1361,plate,皿
1362,platform,演壇・ホーム
1363,player,選手・演奏者
1364,pleasant,心地よい
1365,pleasure,喜び
1366,plenty,たくさん
1367,pocket,ポケット
1368,poem,詩
1369,poet,詩人
1370,poetry,詩
1371,point,点・要点
1372,poison,毒
1373,police,警察
1374,policy,政策・方針
1375,pollution,汚染
1376,pool,プール
1377,population,人口
1378,port,港
1379,position,位置・地位
1380,possibility,可能性
1381,post,郵便・柱
1382,poster,ポスター
1383,pot,鍋・つぼ
1384,potato,ジャガイモ
1385,power,力・権力
1386,practice,練習・慣習
1387,praise,賞賛
1388,presence,存在・出席
1389,present,贈り物・現在
1390,president,大統領・社長
1391,press,報道機関・押すこと
1392,pressure,圧力
1393,price,価格
1394,pride,誇り
1395,priest,聖職者
1396,principle,原理・原則
1397,prison,刑務所
1398,privacy,プライバシー
1399,prize,賞
1400,problem,問題
1401,process,過程
1402,produce,農産物
1403,product,製品
1404,production,生産
1405,professional,専門家・プロの
1406,professor,教授
1407,profit,利益
1408,program,番組・計画
1409,progress,進歩
1410,project,事業・計画
1411,promise,約束
1412,proof,証拠
1413,property,財産・特性
1414,protection,保護
1415,proud,誇りに思う
1416,public,公共の・大衆
1417,pull,引くこと
1418,pump,ポンプ
1419,punishment,罰
1420,pupil,生徒・瞳
1421,purchase,購入
1422,pure,純粋な
1423,purpose,目的
1424,purse,財布・ハンドバッグ
1425,push,押すこと
1426,quality,質
1427,quantity,量
1428,quarter,4分の1
1429,queen,女王
1430,question,質問
1431,queue,列
1432,quiet,静かな
1433,race,競争・人種
1434,radio,ラジオ
1435,railway,鉄道
1436,rain,雨
1437,rainbow,虹
1438,range,範囲
1439,rank,階級・ランク
1440,rate,割合・速度
1441,ray,光線
1442,reaction,反応
1443,reader,読者
1444,ready,準備ができた
1445,real,本当の
1446,reality,現実
1447,reason,理由
1448,receipt,領収書
